episode,ckpt,distance_to_goal,SR,SPL,collisions_count
38.0,26.0,0.08,1.0,0.92,0.0
35.0,32.0,0.17,1.0,0.84,0.0
20.0,10.0,0.33,0.0,0.0,7.0
39.0,11.0,0.15,1.0,0.79,0.0
26.0,5.0,0.09,1.0,0.85,0.0
20.0,49.0,0.57,0.0,0.0,4.0
39.0,40.0,0.08,1.0,0.71,0.0
12.0,20.0,0.18,1.0,0.49,100.0
15.0,38.0,0.28,0.0,0.0,0.0
39.0,38.0,0.12,1.0,0.91,0.0
26.0,28.0,0.06,1.0,0.94,0.0
15.0,15.0,0.17,1.0,0.83,1.0
20.0,24.0,0.35,0.0,0.0,0.0
15.0,30.0,0.21,0.0,0.0,1.0
16.0,13.0,0.24,0.0,0.0,7.0
15.0,17.0,0.09,1.0,0.81,0.0
23.0,42.0,0.42,0.0,0.0,0.0
7.0,33.0,0.1,1.0,0.62,8.0
26.0,9.0,2.01,0.0,0.0,0.0
26.0,12.0,0.1,1.0,0.96,10.0
7.0,43.0,0.14,1.0,0.62,1.0
23.0,26.0,0.63,0.0,0.0,0.0
38.0,48.0,0.1,1.0,1.0,0.0
7.0,7.0,0.17,1.0,0.85,4.0
19.0,8.0,1.17,0.0,0.0,0.0
33.0,42.0,0.16,1.0,0.86,1.0
7.0,35.0,0.04,1.0,0.61,2.0
19.0,1.0,1.17,0.0,0.0,0.0
16.0,1.0,2.72,0.0,0.0,0.0
35.0,19.0,0.09,1.0,0.76,0.0
39.0,23.0,0.21,0.0,0.0,0.0
19.0,21.0,0.53,0.0,0.0,1.0
39.0,5.0,1.12,0.0,0.0,0.0
39.0,7.0,0.22,0.0,0.0,0.0
26.0,32.0,0.15,1.0,0.95,9.0
16.0,22.0,0.97,0.0,0.0,0.0
23.0,17.0,0.21,0.0,0.0,0.0
3.0,13.0,0.23,0.0,0.0,3.0
39.0,16.0,0.06,1.0,0.91,0.0
38.0,15.0,0.12,1.0,0.92,0.0
35.0,39.0,0.36,0.0,0.0,0.0
23.0,13.0,0.13,1.0,0.58,1.0
26.0,38.0,0.19,1.0,1.0,8.0
19.0,45.0,0.02,1.0,0.93,0.0
33.0,22.0,0.29,0.0,0.0,2.0
3.0,35.0,0.18,1.0,0.76,4.0
16.0,9.0,1.56,0.0,0.0,3.0
19.0,42.0,0.04,1.0,0.93,0.0
38.0,22.0,0.34,0.0,0.0,0.0
16.0,37.0,0.54,0.0,0.0,7.0
7.0,18.0,0.18,1.0,0.61,1.0
38.0,13.0,0.1,1.0,0.85,3.0
21.0,39.0,0.13,1.0,0.93,5.0
19.0,25.0,0.16,1.0,0.8,1.0
39.0,13.0,0.15,1.0,0.79,0.0
23.0,34.0,0.38,0.0,0.0,0.0
7.0,10.0,1.04,0.0,0.0,0.0
23.0,47.0,0.17,1.0,0.78,0.0
23.0,19.0,0.54,0.0,0.0,0.0
33.0,24.0,0.37,0.0,0.0,0.0
7.0,6.0,0.09,1.0,0.79,1.0
20.0,20.0,0.52,0.0,0.0,0.0
15.0,29.0,0.22,0.0,0.0,0.0
39.0,27.0,0.1,1.0,1.0,0.0
7.0,24.0,0.16,1.0,0.78,9.0
3.0,48.0,0.88,0.0,0.0,3.0
29.0,6.0,0.19,1.0,0.89,2.0
19.0,33.0,0.18,1.0,0.93,0.0
29.0,37.0,0.41,0.0,0.0,2.0
23.0,35.0,0.37,0.0,0.0,0.0
19.0,2.0,0.16,1.0,0.41,3.0
26.0,46.0,0.62,0.0,0.0,8.0
21.0,42.0,0.11,1.0,0.95,5.0
15.0,16.0,0.31,0.0,0.0,1.0
33.0,32.0,0.05,1.0,0.95,0.0
39.0,36.0,0.13,1.0,0.91,0.0
21.0,30.0,0.06,1.0,0.45,0.0
23.0,43.0,0.15,1.0,0.63,1.0
21.0,2.0,0.74,0.0,0.0,2.0
33.0,14.0,0.04,1.0,0.95,1.0
35.0,10.0,1.89,0.0,0.0,0.0
26.0,19.0,0.31,0.0,0.0,0.0
3.0,47.0,0.45,0.0,0.0,3.0
15.0,11.0,0.34,0.0,0.0,1.0
19.0,47.0,0.47,0.0,0.0,0.0
20.0,15.0,0.03,1.0,0.87,0.0
3.0,44.0,0.47,0.0,0.0,4.0
16.0,40.0,0.1,1.0,0.87,9.0
39.0,35.0,0.1,1.0,0.91,0.0
15.0,26.0,0.35,0.0,0.0,2.0
15.0,33.0,0.16,1.0,0.82,1.0
7.0,38.0,0.12,1.0,0.71,3.0
35.0,35.0,0.16,1.0,0.69,0.0
39.0,26.0,0.14,1.0,0.9,0.0
38.0,36.0,0.14,1.0,0.92,0.0
39.0,42.0,0.13,1.0,0.91,0.0
23.0,40.0,0.35,0.0,0.0,0.0
38.0,5.0,0.1,1.0,0.58,1.0
38.0,21.0,0.34,0.0,0.0,0.0
3.0,12.0,0.09,1.0,0.8,4.0
33.0,3.0,0.16,1.0,0.66,1.0
20.0,0.0,2.3,0.0,0.0,1.0
12.0,41.0,0.47,0.0,0.0,22.0
23.0,38.0,0.13,1.0,0.78,0.0
